country_code,country_name,region,sub_region,intermediate_region,income_group,organization_name,is_aggregate
ABW,Aruba,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO ALTO,,False
AFG,Afghanistan,ASIA,SOUTHERN ASIA,NO DATA,PAÍSES DE INGRESO BAJO,,False
AGO,Angola,AFRICA,SUB-SAHARAN AFRICA,MIDDLE AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
ALB,Albania,EUROPE,SOUTHERN EUROPE,NO DATA,INGRESO MEDIANO ALTO,,False
AND,Andorra,EUROPE,SOUTHERN EUROPE,NO DATA,INGRESO ALTO,,False
ARE,United Arab Emirates,ASIA,WESTERN ASIA,NO DATA,INGRESO ALTO,,False
ARG,Argentina,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,INGRESO MEDIANO ALTO,,False
ARM,Armenia,ASIA,WESTERN ASIA,NO DATA,INGRESO MEDIANO ALTO,,False
ASM,American Samoa,OCEANIA,POLYNESIA,NO DATA,INGRESO ALTO,,False
ATG,Antigua And Barbuda,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO ALTO,,False
AUS,Australia,OCEANIA,AUSTRALIA AND NEW ZEALAND,NO DATA,INGRESO ALTO,,False
AUT,Austria,EUROPE,WESTERN EUROPE,NO DATA,INGRESO ALTO,,False
AZE,Azerbaijan,ASIA,WESTERN ASIA,NO DATA,INGRESO MEDIANO ALTO,,False
BDI,Burundi,AFRICA,SUB-SAHARAN AFRICA,EASTERN AFRICA,PAÍSES DE INGRESO BAJO,,False
BEL,Belgium,EUROPE,WESTERN EUROPE,NO DATA,INGRESO ALTO,,False
BEN,Benin,AFRICA,SUB-SAHARAN AFRICA,WESTERN AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
BFA,Burkina Faso,AFRICA,SUB-SAHARAN AFRICA,WESTERN AFRICA,PAÍSES DE INGRESO BAJO,,False
BGD,Bangladesh,ASIA,SOUTHERN ASIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
BGR,Bulgaria,EUROPE,EASTERN EUROPE,NO DATA,INGRESO ALTO,,False
BHR,Bahrain,ASIA,WESTERN ASIA,NO DATA,INGRESO ALTO,,False
BHS,Bahamas,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO ALTO,,False
BIH,Bosnia And Herzegovina,EUROPE,SOUTHERN EUROPE,NO DATA,INGRESO MEDIANO ALTO,,False
BLR,Belarus,EUROPE,EASTERN EUROPE,NO DATA,INGRESO MEDIANO ALTO,,False
BLZ,Belize,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,INGRESO MEDIANO ALTO,,False
BMU,Bermuda,AMERICAS,NORTHERN AMERICA,NO DATA,INGRESO ALTO,,False
BOL,Bolivia (Plurinational State Of),AMERICAS,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
BRA,Brazil,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,INGRESO MEDIANO ALTO,,False
BRB,Barbados,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO ALTO,,False
BRN,Brunei Darussalam,ASIA,SOUTH-EASTERN ASIA,NO DATA,INGRESO ALTO,,False
BTN,Bhutan,ASIA,SOUTHERN ASIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
BWA,Botswana,AFRICA,SUB-SAHARAN AFRICA,SOUTHERN AFRICA,INGRESO MEDIANO ALTO,,False
CAF,Central African Republic,AFRICA,SUB-SAHARAN AFRICA,MIDDLE AFRICA,PAÍSES DE INGRESO BAJO,,False
CAN,Canada,AMERICAS,NORTHERN AMERICA,NO DATA,INGRESO ALTO,,False
CHE,Switzerland,EUROPE,WESTERN EUROPE,NO DATA,INGRESO ALTO,,False
CHL,Chile,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,INGRESO ALTO,,False
CHN,China,ASIA,EASTERN ASIA,NO DATA,INGRESO MEDIANO ALTO,,False
CIV,Côte D'Ivoire,AFRICA,SUB-SAHARAN AFRICA,WESTERN AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
CMR,Cameroon,AFRICA,SUB-SAHARAN AFRICA,MIDDLE AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
COD,"Congo, Democratic Republic Of The",AFRICA,SUB-SAHARAN AFRICA,MIDDLE AFRICA,PAÍSES DE INGRESO BAJO,,False
COG,Congo,AFRICA,SUB-SAHARAN AFRICA,MIDDLE AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
COL,Colombia,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,INGRESO MEDIANO ALTO,,False
COM,Comoros,AFRICA,SUB-SAHARAN AFRICA,EASTERN AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
CPV,Cabo Verde,AFRICA,SUB-SAHARAN AFRICA,WESTERN AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
CRI,Costa Rica,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,INGRESO MEDIANO ALTO,,False
CUB,Cuba,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO MEDIANO ALTO,,False
CUW,Curaçao,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO ALTO,,False
CYM,Cayman Islands,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO ALTO,,False
CYP,Cyprus,ASIA,WESTERN ASIA,NO DATA,INGRESO ALTO,,False
CZE,Czechia,EUROPE,EASTERN EUROPE,NO DATA,INGRESO ALTO,,False
DEU,Germany,EUROPE,WESTERN EUROPE,NO DATA,INGRESO ALTO,,False
DJI,Djibouti,AFRICA,SUB-SAHARAN AFRICA,EASTERN AFRICA,PAÍSES DE INGRESO MEDIANO BAJO,,False
DMA,Dominica,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO MEDIANO ALTO,,False
DNK,Denmark,EUROPE,NORTHERN EUROPE,NO DATA,INGRESO ALTO,,False
DOM,Dominican Republic,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,INGRESO MEDIANO ALTO,,False
DZA,Algeria,AFRICA,NORTHERN AFRICA,NO DATA,INGRESO MEDIANO ALTO,,False
ECU,Ecuador,AMERICAS,LATIN AMERICA AND THE CARIBBEAN,SOUTH AMERICA,INGRESO MEDIANO ALTO,,False
EGY,Egypt,AFRICA,NORTHERN AFRICA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
ERI,Eritrea,AFRICA,SUB-SAHARAN AFRICA,EASTERN AFRICA,PAÍSES DE INGRESO BAJO,,False
ESP,Spain,EUROPE,SOUTHERN EUROPE,NO DATA,INGRESO ALTO,,False
EST,Estonia,EUROPE,NORTHERN EUROPE,NO DATA,INGRESO ALTO,,False
ETH,Ethiopia,AFRICA,SUB-SAHARAN AFRICA,EASTERN AFRICA,PAÍSES DE INGRESO BAJO,,False
FIN,Finland,EUROPE,NORTHERN EUROPE,NO DATA,INGRESO ALTO,,False
FJI,Fiji,OCEANIA,MELANESIA,NO DATA,INGRESO MEDIANO ALTO,,False
FRA,France,EUROPE,WESTERN EUROPE,NO DATA,INGRESO ALTO,,False
FRO,Faroe Islands,EUROPE,NORTHERN EUROPE,NO DATA,INGRESO ALTO,,False
FSM,Micronesia (Federated States Of),OCEANIA,MICRONESIA,NO DATA,PAÍSES DE INGRESO MEDIANO BAJO,,False
GAB,Gabon,AFRICA,SUB-SAHARAN AFRICA,MIDDLE AFRICA,INGRESO MEDIANO ALTO,,False
GBR,United Kingdom Of Great Britain And Northern Ireland,EUROPE,NORTHERN EUROPE,NO DATA,INGRESO ALTO,,False
GEO,Georgia,ASIA,WESTERN ASIA,NO DATA,INGRESO MEDIANO ALTO,,False
