country_code,country_name,region,sub_region,intermediate_region,income_group,organization_name
MIC, INGRESO MEDIANO,,,,AGREGADOS,
SSF,AFRICA AL SUR DEL SAHARA,,,,AGREGADOS,
TSS,AFRICA AL SUR DEL SAHARA (BIRF Y LA AIF),,,,AGREGADOS,
SSA,AFRICA AL SUR DEL SAHARA (EXCLUIDO ALTOS INGRESOS),,,,AGREGADOS,
NAC,AMERICA DEL NORTE,,,,AGREGADOS,
LCN,AMERICA LATINA Y EL CARIBE,,,,AGREGADOS,
TLA,AMERICA LATINA Y EL CARIBE (BIRF Y LA AIF),,,,AGREGADOS,
LAC,AMERICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),,,,AGREGADOS,
SAS,ASIA MERIDIONAL,,,,AGREGADOS,
TSA,ASIA MERIDIONAL (BIRF Y LA AIF),,,,AGREGADOS,
EAS,ASIA ORIENTAL Y EL PACIFICO,,,,AGREGADOS,
TEA,ASIA ORIENTAL Y EL PACIFICO (BIRF Y LA AIF),,,,AGREGADOS,
EAP,ASIA ORIENTAL Y EL PACIFICO (EXCLUIDO ALTOS INGRESOS),,,,AGREGADOS,
LTE,AVANZADA DEL DIVIDENDO DEMOGRAFICO,,,,AGREGADOS,
IBT,BIRF Y LA AIF,,,,AGREGADOS,
ARB,EL MUNDO ARABE,,,,AGREGADOS,
PSS,ESTADOS PEQUEOS DE LAS ISLAS DEL PACFICO,,,,AGREGADOS,
CSS,ESTADOS PEQUEOS DEL CARIBE,,,,AGREGADOS,
CEB,EUROPA CENTRAL Y DEL BALTICO,,,,AGREGADOS,
ECS,EUROPA Y ASIA CENTRAL,,,,AGREGADOS,
TEC,EUROPA Y ASIA CENTRAL (BIRF Y LA AIF),,,,AGREGADOS,
ECA,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),,,,AGREGADOS,
FCS,FRAGILES Y SITUACIONES DE CONFLICTO AFECTADOS,,,,AGREGADOS,
HIC,INGRESO ALTO,,,,AGREGADOS,
UMC,INGRESO MEDIANO ALTO,,,,AGREGADOS,
LMY,INGRESO MEDIANO Y BAJO,,,,AGREGADOS,
EAR,INICIAL DEL DIVIDENDO DEMOGRAFICO,,,,AGREGADOS,
CHI,ISLAS DEL CANAL,,,,INGRESO ALTO,
